name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
 'RATED\n  Thanks Raju ;(hope thatÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92s his correct name)our server\nEnjoyed the evening\nHad couple of drinks ?\nDidnÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92t like the cocktail though ?\nRest all the snacks n service\nBy Raju was top notch ??\nWings ,ceaser salad n fries were excellent\nGarlic bread was ok\nBut service was 5* ??'), ('Rated 4.0', 'RATED\n  When this place opened up it was the biggest in Bangalore.So spacious and very well spread out place.\nFood was good,they offer a wide variety of items on their menu.\nEven the drinks menu is pretty good and even have their own brewery.\nWe tried out the Indian and chinese and they were good.\nFood-5\nDrinks-4.5\nAmbience-5\nService-4.5'), 'RATED\n  Disappointed with our first visit. Crowd was decent no doubt about it but the music and dj was hardly audible. It\'s a noisy place. Coming to food, it\'s very expensive in comparison to the other pubs n breweries. Taste of the food is very mediocre which we would get in any other normal restaurant, so definitely not worth the money they charge. Also the staff is not very helpful. I agree it\'s a crowded place,"more so on a weekend but that doesn\'t mean you don\'t offer any assistance to your guests and tell them """"Find a place for yourself","we can\'t find you one""""..If there\'s no place available inside then you should tell inform the guests right at the entrance that it\'s full house and not something like this.. I don\'t think we will visit this place again..')", for drinks, we ordered Melon cooler which is a blend of green melon
Homifoo,Yes,No,3.5/5,11,HSR,Quick Bites,,North Indian,300,Delivery,Bellandur
Rajasthan Sweets,Yes,No,,0,Sarjapur Road,Sweet Shop,,Mithai,150,Delivery,Bellandur
Ghar Ki Rasoi,Yes,No,3.7/5,50,Bellandur,Casual Dining,,North Indian,500,Delivery,Bellandur
Swaadam Biryanis,Yes,No,,0,Marathahalli,Delivery,,"Andhra, Biryani, North Indian, South Indian",300,Delivery,Bellandur
Ice N Fries Cafe,Yes,No,3.7/5,39,Sarjapur Road,Quick Bites,Burgers,"Ice Cream, Fast Food, Burger, Pizza, Sandwich, Desserts, Beverages",200,Delivery,Bellandur
Nutty Squirrel,Yes,No,3.8/5,72,Bellandur,Kiosk,"Brownie Chocolate, Ice Cream Sandwich, Brownie Sundae, Waffles","Ice Cream, Desserts",300,Delivery,Bellandur
Cooking Mom,Yes,No,2.9/5,182,Bellandur,Casual Dining,"Fish Chilli, Kadhai Paneer, Vegetable Biryani, Chicken Kebab, Veg Thali, Chicken Butter Masala, Butter Naan","North Indian, Andhra",800,Delivery,Bellandur
INDULGE by InnerChef,Yes,No,3.6/5,22,Sarjapur Road,Bakery,,"Desserts, Bakery",400,Delivery,Bellandur
Biriyani Bungalow,Yes,No,3.9/5,222,Sarjapur Road,Casual Dining,"Chicken Biryani, Vegetable Biryani, Hyderabadi Biryani, Mutton Biryani, Paneer Biryani, Chicken Guntur, Tandoori Chicken","Biryani, North Indian, Chinese",800,Delivery,Bellandur
Absolute Shawarma,Yes,No,3.8/5,116,Marathahalli,"Takeaway, Delivery",Mexican Shawarma,Lebanese,150,Delivery,Bellandur
The Irish House,Yes,No,4.2/5,793,Bellandur,"Casual Dining, Pub","Beer, Cocktails, Burgers, Mini Tacos, Sweet Corn Pizza, Fries, Sea Food","European, American",1700,Delivery,Bellandur
Gusto's Pizza,Yes,No,3.0/5,289,Bellandur,Casual Dining,"Pasta, Salads, Cheesy Garlic Bread, Mint Mojito, Chicken Salad, Veg Extravaganza Pizza, Pane Pizza","Pizza, Italian",500,Delivery,Bellandur
Artinci Artisanal Ice Cream,Yes,No,NEW,0,Bellandur,Dessert Parlor,,"Ice Cream, Desserts",300,Delivery,Bellandur
Mak n Vak - Fyn,Yes,No,3.9/5,337,HSR,Quick Bites,"Liti Chokha, Chilli Chicken, Chicken Litti, Paratha, Lassi, Pan Fried Momos, Egg Curry","North Indian, Chinese",500,Delivery,Bellandur
Ruh,Yes,Yes,4.1/5,3020,Bellandur,Casual Dining,"Fattoush Salad, Mutton Biryani, Mutton Roganjosh, Panipuri, Mocktails, Choco Bomb, Cocktails","North Indian, Mughlai, Mediterranean, Iranian",1000,Delivery,Bellandur
Lassi Shop,Yes,No,3.5/5,9,Sarjapur Road,Beverage Shop,,"Beverages, Juices, Ice Cream, Sandwich",200,Delivery,Bellandur
Bawarchi Khaana,Yes,No,3.3/5,56,Bellandur,Quick Bites,,"North Indian, Chinese",600,Delivery,Bellandur
Tumbites,Yes,No,NEW,0,Bellandur,Quick Bites,,North Indian,200,Delivery,Bellandur
Biryani Bar,Yes,No,NEW,0,Marathahalli,Delivery,,Biryani,500,Delivery,Bellandur
Wimpie Cafe & Restaurant,Yes,No,NEW,0,Bellandur,Casual Dining,,"Andhra, North Indian",500,Delivery,Bellandur
Freshkicho,No,No,NEW,0,Bellandur,Delivery,,"North Indian, South Indian, Chinese",200,Delivery,Bellandur
Mr. Cane,Yes,No,,0,Marathahalli,Food Court,,Juices,100,Delivery,Bellandur
Carlos Cake Cafe,Yes,No,3.8/5,81,Sarjapur Road,Bakery,"Pasta, Chocolate Truffle, Burgers, Blueberry Cheesecake","Bakery, Desserts",300,Delivery,Bellandur
Mighty Paws,Yes,No,4.0/5,136,Sarjapur Road,Cafe,"Waffles, Coffee, Salads, Burgers, Pasta, Paneer Burger, Sandwiches",Cafe,500,Delivery,Bellandur
Cake Dilim,Yes,No,3.6/5,27,Sarjapur Road,Bakery,,Bakery,400,Delivery,Bellandur
Raja Bhojaun,Yes,No,3.4/5,20,Marathahalli,"Takeaway, Delivery",,"Chinese, North Indian, South Indian",250,Delivery,Bellandur
Mirchi Bites- Spice Heaven,Yes,No,3.1/5,9,Marathahalli,Casual Dining,,"Hyderabadi, Biryani",650,Delivery,Bellandur
Hotel Sapthagiri,Yes,No,3.6/5,13,Marathahalli,Casual Dining,,"Andhra, North Indian, Chinese",700,Delivery,Bellandur
Baker's Cafe,Yes,No,3.5/5,8,Marathahalli,Bakery,,"Bakery, Desserts",200,Delivery,Bellandur
Oz Pies,Yes,No,3.8/5,37,Bellandur,Delivery,,"Australian, Continental",400,Delivery,Bellandur
Tandoori Club,Yes,No,NEW,0,HSR,Casual Dining,,"North Indian, Chinese, Continental",750,Delivery,Bellandur
Brimstone Cafe,Yes,Yes,4.0/5,387,HSR,"Cafe, Casual Dining","Pasta, Pizza, Sandwiches, Chilli Cheese Garlic Bread, Hazelnut Latte, Tea, Cappuccino","Cafe, Continental, Salad, Italian",1300,Delivery,Bellandur
Jhanavi Restaurant,Yes,No,,0,Sarjapur Road,Casual Dining,,"South Indian, North Indian",400,Delivery,Bellandur
Xtreme Sports Bar,Yes,Yes,4.0/5,942,Sarjapur Road,Pub,"Lunch Buffet, Boti Kebab, Beer, Potato Wedges, Gulab Jamun, Pizza, Club Sandwich","Continental, Chinese, North Indian",1300,Delivery,Bellandur
Jashn,Yes,No,3.7/5,132,Marathahalli,Casual Dining,"Chicken Curry, Lunch Buffet, Chicken Biryani, Paratha, Lassi, Gajar Halwa, Chicken Grill",North Indian,750,Delivery,Bellandur
T.A.K - That Affordable Kitchen,Yes,No,3.2/5,4,HSR,"Takeaway, Delivery",,"Continental, North Indian",400,Delivery,Bellandur
Up Shawarma,Yes,No,3.4/5,13,Bellandur,Quick Bites,,Arabian,150,Delivery,Bellandur
Happy Eat,Yes,No,,0,Sarjapur Road,Quick Bites,,"Biryani, Chinese, North Indian",300,Delivery,Bellandur
Bombay Kulfi,Yes,No,,0,Sarjapur Road,Dessert Parlor,,Ice Cream,200,Delivery,Bellandur
Health Zingo,No,No,3.8/5,368,Bellandur,Casual Dining,"Sattu Paratha, Pasta, Idli, Salads, Thali, Khichda, Masala Dosa","North Indian, Salad, Healthy Food",600,Delivery,Bellandur
Corner Huts,Yes,No,3.8/5,30,Bellandur,Quick Bites,,"North Indian, Chinese, Biryani, South Indian",300,Delivery,Bellandur
Half & Half Food Box,Yes,No,3.1/5,13,Bellandur,Quick Bites,,"North Indian, Chinese, Biryani",500,Delivery,Bellandur
North Tadka Restaurant,Yes,No,,0,HSR,Quick Bites,,"North Indian, Chinese",500,Delivery,Bellandur
Food Treat,Yes,No,3.3/5,12,Bellandur,Quick Bites,,"North Indian, South Indian",300,Delivery,Bellandur
Five Senses,Yes,No,NEW,0,Bellandur,"Takeaway, Delivery",,"Continental, North Indian, Fast Food",500,Delivery,Bellandur
Canopus Multicuisine Restaurant,Yes,No,NEW,0,Marathahalli,Casual Dining,,"North Indian, Seafood, Biryani, Chinese",800,Delivery,Bellandur
Hotel Tanish,Yes,No,3.6/5,13,HSR,Quick Bites,,South Indian,250,Delivery,Bellandur
Royale Dine,Yes,No,3.5/5,16,Sarjapur Road,Casual Dining,,"North Indian, South Indian, Biryani",600,Delivery,Bellandur
Baskin Robbins,Yes,No,3.7/5,48,Bellandur,Dessert Parlor,,"Ice Cream, Desserts",250,Delivery,Bellandur
Atithi Family Bar & Restaurant,Yes,No,3.6/5,31,Bellandur,"Casual Dining, Bar",,"North Indian, South Indian, Andhra",500,Delivery,Bellandur
Meat And Eat,Yes,No,2.8/5,39,Sarjapur Road,Quick Bites,,"Fast Food, Burger",500,Delivery,Bellandur
Eatwell Restaurant,Yes,No,3.0/5,8,Sarjapur Road,Quick Bites,,"Biryani, Chinese, North Indian",400,Delivery,Bellandur
Angiie's Cafe,Yes,No,3.7/5,29,Sarjapur Road,Quick Bites,,"Burger, Fast Food",450,Delivery,Bellandur
Apsara Ice Cream,No,No,4.1/5,83,Bellandur,Dessert Parlor,"Blueberry Cheesecake, Panipuri, Sitaphal Ice Cream","Ice Cream, Desserts",200,Delivery,Bellandur
Zing Roll,Yes,No,,0,HSR,Quick Bites,,"Rolls, Sandwich",300,Delivery,Bellandur
Muscat Restaurant,Yes,No,3.0/5,47,Marathahalli,Quick Bites,,"North Indian, Chinese",400,Delivery,Bellandur
Rajtilak Sweets,Yes,No,2.8/5,20,Sarjapur Road,"Quick Bites, Sweet Shop",,"Street Food, Fast Food, Mithai",250,Delivery,Bellandur
The Chocolate Heaven - Cakes,Yes,No,,0,Bellandur,"Dessert Parlor, Bakery",,"Desserts, Bakery, Beverages",600,Delivery,Bellandur
Cake Delights,Yes,No,3.6/5,24,Sarjapur Road,Bakery,,"Bakery, Desserts",500,Delivery,Bellandur
Lassi Shack,Yes,No,3.7/5,35,Sarjapur Road,"Beverage Shop, Dessert Parlor",,"Beverages, Ice Cream",200,Delivery,Bellandur
Kaka Singh,Yes,No,2.6/5,42,Bellandur,Casual Dining,,North Indian,400,Delivery,Bellandur
Smoke - The Sizzler House,Yes,No,3.3/5,4,Bellandur,Casual Dining,,"Continental, Chinese, Thai, BBQ, Steak",900,Delivery,Bellandur
As On Fire,Yes,No,3.8/5,174,HSR,Quick Bites,"Chicken Drumsticks, Wood Fire Pizza, Thin Crust Pizza, Barbeque Chicken, Lime Soda, Veggie Pizza, Bbq Chicken","Pizza, Fast Food, BBQ",400,Delivery,Bellandur
Soul Treat,Yes,No,4.3/5,269,Sarjapur Road,Bakery,"Fruit Cake, Blueberry Cake, Brownie, Chocolate Walnut Cake, Carrot Cake, Chocolate Blueberry, Meetha Paan","Bakery, Desserts, Healthy Food",750,Delivery,Bellandur
My Tea House,Yes,Yes,NEW,0,Banashankari,Casual Dining,,"Continental, Asian, North Indian, Tea",500,Delivery,Bellandur
Kadala Teera,Yes,No,3.8/5,46,Sarjapur Road,Casual Dining,"Sea Food, Chicken Kebab, Crab Sukha, Veg Fried Rice","Seafood, South Indian",600,Delivery,Bellandur
Biryani Hut,Yes,No,3.5/5,9,Sarjapur Road,Quick Bites,,"North Indian, Biryani",300,Delivery,Bellandur
Sri Vishnu Garden Family Bar & Restaurant,Yes,No,,0,Sarjapur Road,"Bar, Casual Dining",,"North Indian, South Indian, Chinese, Hyderabadi",700,Delivery,Bellandur
CakeZone,No,No,3.7/5,20,Bellandur,Bakery,,"Bakery, Desserts",500,Delivery,Bellandur
Red Stone Kitchen,Yes,No,3.8/5,91,Marathahalli,Casual Dining,Friendly Staff,"North Indian, Chinese, Seafood",750,Delivery,Bellandur
Second Wife Cafe,Yes,No,3.8/5,60,HSR,Quick Bites,"Paneer Tikka, Tandoori Momos, Soya Chaap, Afghani Chaap","Arabian, North Indian",400,Delivery,Bellandur
Khan Saheb Grills And Rolls,Yes,No,3.2/5,135,Sarjapur Road,Quick Bites,"Rolls, Beda Roti, Chicken Baida Roti, Chicken Tikka Roll, Aloo Tikka Roll, Mushroom Roll","Biryani, Fast Food, Rolls",400,Delivery,Bellandur
Paratha's Kitchen,Yes,No,2.8/5,32,Bellandur,,"Paratha, Chole","North Indian, South Indian",200,Delivery,Bellandur
Asia In A Box,Yes,No,3.1/5,9,Bellandur,Casual Dining,,"Thai, Asian",550,Delivery,Bellandur
Ram Bhog,Yes,No,3.8/5,24,Marathahalli,Quick Bites,,"Chinese, North Indian",200,Delivery,Bellandur
Silsila Restaurant,Yes,No,3.7/5,31,Sarjapur Road,Casual Dining,,"Chinese, North Indian",600,Delivery,Bellandur
Keerthi Restaurant,Yes,No,3.3/5,11,Sarjapur Road,Quick Bites,,"North Indian, Chinese",300,Delivery,Bellandur
Cafe Mondo,Yes,No,3.6/5,484,HSR,"Cafe, Casual Dining","Coffee, Pasta, Sandwiches, Pizza, Nachos, Blueberry Cheesecake, Burgers","Cafe, Italian, Pizza, Chinese",700,Delivery,Bellandur
Zoey's,Yes,No,4.3/5,894,Sarjapur Road,Cafe,"Waffles, Sandwiches, Burgers, Pasta Primavera, Veg Burger, Omelette, Chicken Sausages","Cafe, Italian, Continental, Burger",600,Delivery,Bellandur
Flying Cakes,Yes,No,3.1/5,15,Sarjapur Road,Bakery,,"Bakery, Desserts",500,Delivery,Bellandur
Sri Ganesh Juice Junction,Yes,No,,0,Bellandur,Quick Bites,,"Fast Food, Juices",200,Delivery,Bellandur
The Vape,Yes,No,4.0/5,600,HSR,Casual Dining,"Pasta Primavera, Mocktails, Cheese Corn Balls, Noodles, Pad Thai, Sushi, Pasta Alfredo","Asian, Beverages",800,,
 but my nonvegetarian friends ordered thai for first time and they loved it alot. The options are yummy and quite cost friends. So I ordered Mediterranean sizzler and spring roll. The bill was 1000 RS for 5 people.\n\nAlthough a rating less because we were kicked out for playing games loudly :/'), ('Rated 5.0'," """"RATED\n  The restaurant has decent sitting capacity and the view is just wow. The music is good. They offer a wide variety of Asian food ranging from starters and noodles and rice along with some drinks and shakes. The staff is courteous. The service is quick and excellent", it didn't even falter for a min in spite of such heavy rush. Ordered a number of dishes. The drinks were soooo refreshing and delicious. The corn crushed chicken timder were absolutely scrumptious. The spicy roast chilli lamb was beautifully prepared and tasted great. For mains, had three black pepper chicken with noodles. It comes in a hot sizzling bowl where the contents are mixed by the staff. It was mouth watering with perfect flavour. And to finish our dinner," it was amazing. A must visit place for all the lovers of Asian food and for others too."""")", ('Rated 3.0'," """"RATED\n  It is on top floor. Nice breeze at night. It has Zomato gold on food and that's how I went there. It serves hukka. Food is nice. Place is small and has limited menu."""")", ('Rated 4.0', 'RATED\n  Great location but I wish they had all the things that are mentioned on the menu. The steaks are really good, 'RATED\n  ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x91The VapeÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92 is a beautiful breezy rooftop cafe in HSR layout. The place looks lovely with wooden patio furniture, a small vertical garden and some beautiful planters. We were out for some chores over the weekend and went here for a late lunch. Both of us were famished and ended up ordering a lot of food ? Our order comprised of veg noodles
Indy Palate,Yes,No,3.6/5,14,Bellandur,Quick Bites,,"Continental, Biryani, Italian, North Indian, Chinese",250,Delivery,Bellandur
Food Theory,No,No,3.0/5,88,Bellandur,,"Pasta, Tandoori Roti, Brownie","Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500,Delivery,Bellandur
Sri Vasavi Restaurant,Yes,No,3.6/5,30,Bellandur,Quick Bites,,"Chinese, Biryani",250,Delivery,Bellandur
Flavors of India,Yes,Yes,3.7/5,37,Bellandur,Casual Dining,"Salads, Fish","Chinese, North Indian, Salad, Fast Food",1500,Delivery,Bellandur
Nukkad,Yes,No,3.0/5,106,Bellandur,Casual Dining,"Biryani, Pepper Chicken, Ghee Rice, Dal Fry","North Indian, Chinese",500,Delivery,Bellandur
Pita Pit,Yes,No,3.3/5,7,Bellandur,Quick Bites,,"Healthy Food, Salad",600,Delivery,Bellandur
Milkyway Ice Creams,Yes,No,3.7/5,25,Bellandur,Food Court,,Ice Cream,300,Delivery,Bellandur
Gooey & Fluffy,No,No,NEW,0,Bellandur,Delivery,,"Desserts, Bakery",200,Delivery,Bellandur
Kerala Tiffin,No,No,NEW,0,Bellandur,"Takeaway, Delivery",,South Indian,400,Delivery,Bellandur
Reddy's Restaurant,Yes,No,3.4/5,6,Bellandur,Quick Bites,,"Andhra, Biryani, South Indian, Chinese",500,Delivery,Bellandur
Take EAT Easy,Yes,No,3.6/5,20,Sarjapur Road,"Takeaway, Delivery",,North Indian,200,Delivery,Bellandur
Rasoiya,Yes,No,3.5/5,43,Sarjapur Road,Delivery,,"North Indian, Chinese, Momos",450,Delivery,Bellandur
Burrito Boys,No,No,2.7/5,39,Bellandur,Food Court,Rice Bowl,"Mexican, Tex-Mex",330,Delivery,Bellandur
Dhaba Shaba,Yes,No,3.2/5,61,Sarjapur Road,Quick Bites,"Paratha, Rajma Chawal","North Indian, Fast Food",250,Delivery,Bellandur
Just Bake,Yes,No,2.9/5,65,Sarjapur Road,Bakery,,"Bakery, Desserts",400,,
 ('Rated 3.0', 'RATED\n  JUST BAKE is just one of the bakery options you have a sarjapur road with nothing fancy or great about its products.\nThe feedback has been mixed from my friends who stay in the vicinity.\nSo you must take care about buying from here only after ensuring that the product you want is fresh.\nI still have a lack of trust for this place as consistency is an issue here.\nThey have however wide variety of Birthday and Theme cakes to choose from.\nMy Rating\nCakes / Bakery Products 3/5\nService 3/5\nOverall 3/5\n\nI am looking for better options on Sarjapur Road near Total Mall.\nAny suggestions guys ?\n\nthefoodietales.com'), ('Rated 2.0'," """"RATED\n  Wrong promises. very bad. don't even provide candles with cake"""")", ('Rated 2.5', ('Rated 2.0', 'RATED\n  I had been a frequent visitor to Just Bake. The pastries and other savories are really good and are a yum to your taste buds.\n\nTheir concept of Ice Cream and choosing your own variety of toppings was very interesting and was an attraction. The quality was good initially and I loved to visit the place experimenting with their varieties. Somehow these days I have seen a drastic decrease in their service and quality.\n\nThe choco and white choco sauce are usually gluey as they are not heated up. I tend to find some ants these days around the toppings. Have stopped going there since then.'), ('Rated 1.0', 'RATED\n  The cake collection is okay. However the place is maintained poorly in an unhygienic manner. They never switch on their AC and keep the main door open. The dust from the Sarjapur Road are inside the store, which they hardly care to keep it clean. There are open toppings counters which requires AC and proper maintenance. Someone needs to make sure that this place maintain properly.'), ('Rated 2.0'," """"RATED\n  Wrong promises. very bad. don't even provide candles with cake"""")"
Sri Murali Krishna,Yes,No,NEW,0,Bellandur,Casual Dining,,"North Indian, Chinese, Biryani",600,Delivery,Bellandur
Ghar Ka Chulha,Yes,No,3.1/5,117,Sarjapur Road,Casual Dining,"Paratha, Panneer Butter Masala, Roti, Khichda","North Indian, Chinese",550,Delivery,Bellandur
Cafe Daily Bread,No,No,3.7/5,128,Bellandur,"Bakery, Quick Bites","Pasta, Sandwich, Sandwiches, Caesar Salad, Salads, Fries, Egg Wrap","Bakery, Fast Food, Italian",600,Delivery,Bellandur
Biriyani's & Curries,No,No,,0,Bellandur,Quick Bites,,"Andhra, Biryani",400,Delivery,Bellandur
Lassi Corner,No,No,3.2/5,9,Bellandur,Beverage Shop,,"Beverages, Desserts",300,Delivery,Bellandur
Dessi Cuppa,Yes,No,3.7/5,35,HSR,"Quick Bites, Beverage Shop",,"Beverages, Fast Food",300,Delivery,Bellandur
The Zaika Of Banaras,Yes,No,3.4/5,26,Marathahalli,Quick Bites,,"North Indian, Street Food",350,Delivery,Bellandur
Mishmash,Yes,No,3.9/5,1240,HSR,"Casual Dining, Bar","Cocktails, Tandoori Chicken, Paneer Tikka, Stuffed Mushroom, Pasta Alfredo, Mocktails, Salads","Mediterranean, Continental, North Indian, Mughlai, Salad",1400,Delivery,Bellandur
Happy Eats,Yes,No,NEW,0,Sarjapur Road,Delivery,,"North Indian, Continental",300,Delivery,Bellandur
Eating Love,Yes,No,4.3/5,149,Sarjapur Road,Cafe,"Pizza, White Sauce Pasta","Cafe, Italian, Pizza",800,Delivery,Bellandur
Shri Sai Ram Andhra Hotel,No,No,NEW,0,Bellandur,Quick Bites,,"South Indian, North Indian",300,Delivery,Bellandur
T Square,Yes,No,3.2/5,4,Sarjapur Road,Quick Bites,,"Fast Food, Street Food",150,Delivery,Bellandur
Club Food,Yes,No,,0,Sarjapur Road,Quick Bites,,"North Indian, Chinese",250,Delivery,Bellandur
Sri Sai Mango Tree Restaurant,No,No,3.6/5,336,Bellandur,Casual Dining,"Chicken Biryani, Kastoori Chicken, Rice, Mushroom Biryani, Mutton Biryani, Paneer Biryani, Tandoori Chicken","North Indian, Biryani, Chinese",600,,
 'RATED\n  If you are looking for tasty non veg food this is the place in budget. Ambience is not great but service is good and food tastes good. Try the maharaja kabab and andhra kodi vepadu for starters. Kalmi kabab and tandoori chicken also tastes good. Special chicken biryani also tastes good.'), ('Rated 3.0'," """"RATED\n  Have tried this place many a times as this is near my office and we tend to order food from here but never really liked much.\nBut recently Heard a lot of this place because of their maharaja chicken which is basically minced chicken inside tandoori chicken. So it's a nice mix up.\nTasty definitely seven with green chutney and onions lemon. It was good not great"," but something u can try if u r here.\nThe place also serves you decent chicken biryani which has humongous quantity for1 serving for sure.\nOverall a decent one.."""")", ('Rated 4.5', had a great time here with my friends.\nWonderful and friendly staff.\n Food quality is good and fast service'), ('Rated 4.0', 'RATED\n  Food was quite good  and fast service.\nKaju paneer and starters like shimla chicken is superb.\nfood 4/5\nservice 4.5/5\ndelivery 4/5'), ('Rated 4.5', 'RATED\n  Had visited this place many times which is near to my office and food was quite good.\nKaju paneer and Kebab biryani is superb , 'RATED\n  If you are looking for tasty non veg food this is the place in budget. Ambience is not great but service is good and food tastes good. Try the maharaja kabab and andhra kodi vepadu for starters. Kalmi kabab and tandoori chicken also tastes good. Special chicken biryani also tastes good.'), ('Rated 3.0'
Night Diaries,Yes,No,3.1/5,16,Whitefield,Quick Bites,,North Indian,300,Delivery,Bellandur
Carnival Cakes & Breads,No,No,3.7/5,23,Bellandur,"Dessert Parlor, Quick Bites",,"Bakery, Fast Food, Fast Food",200,Delivery,Bellandur
Get Ur Fix,Yes,No,,0,Marathahalli,Food Court,,"Fast Food, Beverages",300,Delivery,Bellandur
Sai Ram Andhra Mess,No,No,3.2/5,6,Bellandur,Mess,,"South Indian, North Indian",300,Delivery,Bellandur
Juice n Cafe,Yes,No,,0,Sarjapur Road,"Quick Bites, Beverage Shop",,"Burger, Sandwich, Beverages, Juices",150,Delivery,Bellandur
Delight Foods,No,No,,0,Bellandur,"Takeaway, Delivery",,"Andhra, Beverages, Biryani, Chinese, Fast Food, Hyderabadi, North Indian, South Indian",750,Delivery,Bellandur
Samosa Corner,No,No,3.7/5,32,Bellandur,Quick Bites,,Street Food,100,Delivery,Bellandur
Bhagini,No,No,2.3/5,131,Bellandur,Casual Dining,"Masala Peanuts, Chicken Biryani, Roti","Andhra, South Indian, Chinese, North Indian",800,,
 ('Rated 1.5'," """"RATED\n  The place is very shady with no proper lighting. Air conditioning doesn't work. It almost looks like a restaurant that is about to be shut down. Food was just edible."""")", ('Rated 3.0'," """"RATED\n  Just can't rate it below 3...\n\nI love this place ...the peanut chart with the Masala paper and ...obviously the chilled beer!!\n\nRemembering the times after office when you could just chill and come here\n\n\n:)"""")", ('Rated 1.0', it was like tomato puree! #pissed'), ('Rated 1.0', 'RATED\n  Never ever ever order chinese here. They serve SHIT. For rest of the items I bet they do the same. And funny, the price : they shoud better sell their rest for this noodles price.'), ('Rated 1.0', ('Rated 1.5'," """"RATED\n  The place is very shady with no proper lighting. Air conditioning doesn't work. It almost looks like a restaurant that is about to be shut down. Food was just edible."""")"
Kettle & Kegs,Yes,No,3.3/5,9,Sarjapur Road,Delivery,,"Tea, Beverages",200,Delivery,Bellandur
Unico,Yes,No,3.7/5,66,Bellandur,Casual Dining,"Orange Juice, Garlic Naan","North Indian, Biryani, Chinese",550,Delivery,Bellandur
New Andhra Spicy,Yes,No,3.6/5,11,Bellandur,,,"North Indian, Chinese, Andhra, South Indian, Biryani",200,Delivery,Bellandur
Eat N Drinks,Yes,No,3.4/5,7,Bellandur,Quick Bites,,"Kerala, Beverages",150,Delivery,Bellandur
Dosa Time,Yes,No,3.8/5,106,Sarjapur Road,Takeaway,"Pizza Dosa, Pav Bhaji Dosa",South Indian,200,Delivery,Bellandur
Ammi's Biryani,No,No,2.8/5,43,Bellandur,Quick Bites,"Chicken Biryani, Mutton Biryani","Biryani, North Indian",500,Delivery,Bellandur
Chef's Gallery,No,No,3.5/5,95,Bellandur,Casual Dining,"Pasta, Lunch Buffet, Pizza, Noodles, Draught Beer","Chinese, Italian, North Indian",700,Delivery,Bellandur
Annalakshmi,No,No,3.5/5,28,Bellandur,Casual Dining,,"Andhra, Chettinad",700,Delivery,Bellandur
Light House Cafe,Yes,No,3.7/5,94,Marathahalli,Cafe,Chicken Sandwich,"Cafe, Beverages, Continental, North Indian, Chinese",700,Delivery,Bellandur
Hotel Shreekshetra,Yes,No,3.6/5,10,Sarjapur Road,Quick Bites,,"North Indian, Chinese",300,Delivery,Bellandur
Payohima Ice Creams,Yes,No,3.9/5,20,Sarjapur Road,Dessert Parlor,,Desserts,300,Delivery,Bellandur
Tea Totallers,Yes,No,2.9/5,19,Bellandur,Cafe,,"Cafe, Continental, Tea",500,Delivery,Bellandur
Mirapakaya,Yes,No,,0,Bellandur,Quick Bites,,"South Indian, Fast Food",300,Delivery,Bellandur
ReadyBowl,Yes,No,3.6/5,76,Bellandur,"Takeaway, Delivery","Chicken Biryani, Rice, Punjabi Chicken, Vegetable Biryani","Andhra, South Indian, North Indian, Biryani",300,,
" """"RATED\n  Ordered chicken boneless biryani from here. The food arrived after two hours", they only delivered two biryanis, food was cold, chicken was tasteless," and the rice was different in two biryanis. I don't recommend this place."""")", 'RATED\n  We ordered 3kgs of Special chicken biriyani & 2 kgs Chicken 65 for a group of 25 people, and i must say we were equally impressed with the service, quality & quantity of the food.\nDuring our test order, we found the biriyani very spicy, but tasty, 'RATED\n  I ordered lunch today from here. The dishes are as follows.\n1.ginger fish dish :quite nice but a bit too oily. ?\n2.chicken curry :extremely oily ,taste was kind of missing due to it. ??\n3.rice:good quality sona masoori .?\n4.rotis :was good but I suspect it had maida in the rotis.\nI had great expectations but I am kind of sad about the food quality.\nBut they delivered on promised time.')
The Paratha Stories,Yes,No,3.3/5,35,Koramangala 1st Block,Delivery,,North Indian,400,Delivery,Bellandur
Devanshi Foods,Yes,No,,0,Marathahalli,Quick Bites,,"Andhra, Biryani, North Indian, South Indian",400,Delivery,Bellandur
Al Zaiqa Hotel,Yes,No,3.5/5,14,Marathahalli,Quick Bites,,"Chinese, South Indian, Fast Food",200,Delivery,Bellandur
Tandurust,No,No,3.6/5,27,Bellandur,"Takeaway, Delivery",,"North Indian, South Indian",300,Delivery,Bellandur
